22666 0.7725 0.9025 t s f 6895	t,aa
15335 0.575 0.825 m v ih 8824	f,m
20838 0.515 0.705 n ax ao 5802	n,w
316 0.38 0.62 s ax ae 0188	s,d
20744 0.3325 0.6825 k ax ae 2294	p,k
18264 0.6125 0.7925 w ax ih 3347	n,w
11674 0.36 0.62 d ax ae 5189	b,d
3402 0.335 0.785 z aa d 8824	t,z
9997 0.5 0.71 d ax ih 3851	g,d
22512 0.7775 0.9175 n ax ae 2294	n,hh
19989 0.3625 0.8225 n ae s 6509	n,k
2653 0.4375 0.7775 m ax ae 3851	m,k
3456 0.5625 0.7725 n ae s 1571	p,n
23538 0.2675 0.7175 n aa d 6895	n,b
10128 0.595 0.895 k ax ae 0511	f,k
5475 0.675 0.875 n ax ae 1571	n,b
8114 0.615 0.845 b t eh 8824	b,hh
16456 0.2075 0.5775 f ax ae 3851	f,hh
20504 0.3975 0.7175 l s aa 3851	w,l
20476 0.4675 0.6575 w t eh 8193	w,b
10635 0.8125 0.9225 m ax ae 6509	l,m
14587 0.615 0.765 w ax ih 5802	n,w
18807 0.7125 0.8325 z eh ax 5802	z,s
23583 0.58 0.77 b ax ih 4926	g,b
14931 0.6425 0.8425 k ae s 5189	k,v
1589 0.635 0.865 l ax ae 0511	l,m
10241 0.505 0.645 z eh ax 3347	p,z
20795 0.5775 0.7475 d ax ih 6509	w,d
23802 0.22 0.58 f ax ae 0188	t,f
22223 0.725 0.885 l eh ax 5802	d,l
1388 0.6925 0.9025 l ax ae 6895	g,l
409 0.4425 0.6325 z ax ih 3851	z,w
674 0.4125 0.6725 r eh s 2741	r,n
12317 0.7025 0.9125 m eh ax 3851	m,s
6097 0.3475 0.5675 s eh ax 2294	r,s
17982 0.2675 0.5575 r eh s 6895	l,r
5619 0.5775 0.8475 s eh ax 4926	z,s
21561 0.795 0.905 r eh ax 6509	l,r
547 0.2775 0.6475 n ae s 0188	v,n
538 0.4125 0.5925 g t ih 5802	v,g
18637 0.52 0.73 p eh ax 8193	p,n
4932 0.56 0.71 v eh ax 5189	v,f
11448 0.3475 0.5875 r t eh 3347	r,b
20288 0.755 0.945 t s aa 5189	t,f
14972 0.7275 0.8875 r eh ax 6509	r,t
20931 0.4375 0.6975 n ae s 1571	d,n
18923 0.6275 0.9075 l ax ae 5802	n,l
702 0.475 0.715 b v ih 2294	p,b
23979 0.7525 0.9425 hh ax ih 5189	hh,y
17417 0.64 0.85 n eh s 8824	r,n
10366 0.365 0.665 s t eh 3347	s,f
6215 0.64 0.79 n eh ax 0188	d,n
24702 0.61 0.79 z aa d 0188	z,n
17631 0.3425 0.8625 l ax ae 2741	n,l
6344 0.4625 0.8525 k ax ae 2741	p,k
17209 0.5675 0.7575 m ax ae 2294	g,m
12974 0.5025 0.8325 f ax ae 5802	f,hh
22986 0.4275 0.6075 w t eh 5802	w,s
18601 0.6225 0.9325 s ax ae 5802	s,f
15035 0.5525 0.7025 n aa d 2294	z,n
15785 0.74 0.94 p ax uh 2294	w,p
26029 0.3725 0.6025 t ae s 6895	t,m
5475 0.675 0.875 n ax ae 1571	d,n
20383 0.585 0.745 s k t 0511	s,aa
1275 0.485 0.665 r ax ih 5802	r,y
24077 0.52 0.78 k ax ae 6509	z,k
12219 0.3975 0.5575 hh ax ih 6509	g,hh
12476 0.5175 0.6975 n ax ae 5189	n,hh
15270 0.6775 0.8975 w t eh 0188	w,y
3717 0.545 0.775 r aa d 6509	r,t
24410 0.4225 0.6225 l ax uh 3851	p,l
25474 0.5725 0.7825 w ax ih 2294	w,d
23611 0.3625 0.7225 b ae s 8193	b,d
17806 0.4425 0.6025 s eh ax 5802	m,s
8390 0.5325 0.8825 l ax ae 0188	t,l
10699 0.2225 0.5825 p ax ae 5189	p,d
7063 0.4675 0.6675 s ax p 2294	s,aa
8479 0.4925 0.6825 v z eh 6509	y,v
6577 0.3975 0.6575 l eh ax 6895	l,r
9644 0.63 0.87 m ae s 4926	v,m
19263 0.5275 0.7475 n ax ae 0188	n,m
2027 0.5975 0.9075 g t aa 0511	g,b
450 0.6575 0.8475 r t eh 1571	r,k
19727 0.4475 0.6975 l ax ih 2741	y,l
20697 0.6375 0.8975 b v ih 2741	z,b
21320 0.6675 0.8275 n ax ih 1571	n,hh
3956 0.495 0.675 t ae s 5802	t,k
8423 0.6675 0.8975 n aa d 5189	z,n
21704 0.5475 0.7175 n eh ax 2741	p,n
26121 0.4475 0.5675 d ax ih 1571	w,d
3720 0.4275 0.6175 d ae s 3347	t,d
17328 0.5375 0.8075 s ax ae 6509	s,b
16706 0.525 0.705 v eh ax 5802	v,f
