8195 0.6175 0.8275 r eh ax 0188	r,s
23136 0.715 0.875 r v ih 8824	r,f
12420 0.25 0.61 p ae s 6509	p,k
4143 0.5075 0.6475 b ax ih 0188	y,b
22422 0.605 0.795 g ax ih 8193	g,s
24903 0.55 0.7 f eh ax 8824	z,f
8105 0.6325 0.8125 s ax ae 5802	l,s
25696 0.4125 0.6125 n ae s 3347	n,l
15137 0.4975 0.7475 s t eh 8824	m,s
13169 0.3525 0.6325 v ae s 3347	z,v
16993 0.5725 0.8725 l ae s 8193	k,l
5814 0.3725 0.6325 f ax ae 5802	z,f
17042 0.43 0.67 f v ih 6509	b,f
6097 0.3475 0.5675 s eh ax 2294	m,s
17586 0.4 0.57 m ax ae 3851	m,k
10895 0.425 0.575 r t eh 5802	r,f
18259 0.3125 0.5525 k eh s 2294	r,k
16067 0.4425 0.7225 t ax ae 3851	t,p
15902 0.64 0.85 t ae s 5802	t,d
15447 0.2975 0.6275 k ax ae 2294	m,k
21561 0.795 0.905 r eh ax 6509	l,r
16922 0.3975 0.7975 p ax ae 8193	p,b
21475 0.4675 0.7575 l ax ae 6509	g,l
24208 0.41 0.75 n ax ae 5802	n,k
1381 0.5575 0.7275 d ax ih 5189	w,d
15100 0.4825 0.7225 n ae s 6509	t,n
5125 0.4225 0.5925 r eh ax 2741	r,n
13369 0.3325 0.8125 p ax ae 6895	p,l
16673 0.565 0.775 n aa d 3347	n,b
6801 0.655 0.835 d v ih 6895	d,l
21079 0.4975 0.6875 d ax ae 8193	s,d
7201 0.735 0.905 l ax ih 3851	y,l
18264 0.6125 0.7925 w ax ih 3347	w,hh
20388 0.4775 0.5875 n ax ih 3851	g,n
10543 0.78 0.91 d eh ax 6509	d,l
24616 0.6225 0.7825 v eh ax 2741	v,f
18215 0.5325 0.7425 s ax ih 5802	w,s
18781 0.325 0.565 t ax ae 2294	t,f
425 0.545 0.735 d ax ih 4926	g,d
19813 0.665 0.935 w d ao 5802	w,y
20899 0.615 0.805 r t eh 3851	r,s
15552 0.4975 0.6475 r t eh 2294	r,t
17807 0.645 0.895 p ax ae 2294	p,n
20697 0.6375 0.8975 b v ih 2741	p,b
18472 0.6025 0.8125 s eh ax 3347	r,s
9096 0.5675 0.8075 r eh s 1571	l,r
12962 0.2025 0.5825 w s aa 4926	t,w
8956 0.6325 0.8325 k eh ax 2294	k,v
5526 0.6025 0.7325 b ax ih 3851	b,f
291 0.5825 0.7925 hh v ih 3851	v,hh
18 0.42 0.59 r aa d 6895	z,r
20701 0.3975 0.6875 p ax ih 4926	p,hh
22093 0.5075 0.7075 b t eh 1571	w,b
11600 0.335 0.665 l ax ae 3851	l,m
332 0.5625 0.8325 w t eh 3347	w,hh
14736 0.59 0.95 w t eh 5802	k,w
20072 0.3975 0.6975 n ae s 2741	v,n
17739 0.6725 0.9025 w ax ih 2294	t,w
2443 0.3725 0.5825 v eh ax 2741	v,t
8195 0.6175 0.8275 r eh ax 0188	r,f
23136 0.715 0.875 r v ih 8824	r,s
5814 0.3725 0.6325 f ax ae 5802	b,f
4255 0.345 0.585 n ax ae 0511	n,m
7335 0.5475 0.7575 p ax ae 1571	p,s
17214 0.555 0.715 w t eh 8824	w,g
16922 0.3975 0.7975 p ax ae 8193	p,k
16639 0.67 0.83 k eh s 5802	r,k
19132 0.6125 0.7425 m t eh 0188	g,m
10056 0.3825 0.5825 g s ih 1571	g,hh
248 0.3225 0.6225 l s aa 5189	k,l
6968 0.2175 0.5875 p ae s 4926	p,m
15444 0.6375 0.8375 r eh ax 3851	p,r
3956 0.495 0.675 t ae s 5802	t,n
23222 0.7175 0.8675 hh v ih 3347	hh,m
11438 0.4475 0.6875 z ae s 3851	z,n
3009 0.455 0.655 hh t eh 3347	w,hh
2918 0.7175 0.8075 r eh ax 6509	v,r
15065 0.5675 0.7975 n ax ae 3851	n,k
10457 0.6675 0.8575 t ae s 0188	t,n
21744 0.45 0.65 r t eh 3851	r,d
9892 0.42 0.67 r eh ax 4926	r,d
2406 0.6025 0.8625 p ax ae 8824	p,s
18725 0.6325 0.8325 hh eh ax 4926	n,hh
8655 0.61 0.72 hh v ih 4926	hh,l
17033 0.54 0.79 n ae s 0188	t,n
18227 0.545 0.695 n ax ih 8824	n,w
21330 0.56 0.72 n eh ax 1571	v,n
4500 0.6225 0.9325 p ax ae 2741	p,s
19346 0.455 0.685 d ae s 6895	k,d
5375 0.6125 0.8825 k ax ae 2294	f,k
17806 0.4425 0.6025 s eh ax 5802	z,s
13348 0.3375 0.6175 v ax eh 2741	v,g
18059 0.6275 0.7675 n ax ih 3851	n,hh
17231 0.7 0.92 s eh ax 4926	s,n
857 0.5425 0.6825 f d ao 6895	y,f
23511 0.5325 0.7825 r t eh 1571	r,s
12664 0.4075 0.7275 k ax ae 5802	k,hh
6592 0.655 0.895 t s aa 2294	t,w
1742 0.5 0.76 hh ax ae 2294	z,hh
22979 0.7575 0.9175 v eh ax 0511	v,s
10187 0.3975 0.5875 p ax uh 6895	w,p
22512 0.7775 0.9175 n ax ae 2294	p,n
10417 0.5975 0.8775 t ae s 6895	t,n
7548 0.175 0.675 g eh z 0188	g,d
14630 0.4425 0.6725 s ax ae 3851	m,s
21475 0.4675 0.7575 l ax ae 6509	f,l
6490 0.3925 0.6225 k ax ih 5802	k,w
12023 0.6425 0.8425 n ax ae 3347	p,n
401 0.4425 0.7025 t ax ae 5189	v,t
10262 0.4725 0.7025 v v ih 3851	v,l
20698 0.5425 0.8425 m d ao 5802	y,m
25707 0.545 0.645 t eh ax 2294	r,t
17012 0.65 0.92 w ax ao 3347	n,w
10970 0.7525 0.9325 l ax ih 6895	y,l
10203 0.57 0.84 d ae s 6509	b,d
10895 0.675 0.935 z ax ae 5802	z,b
18895 0.4925 0.7725 y t eh 0188	y,k
24802 0.6125 0.7925 w ax ih 3851	w,d
4005 0.5625 0.7325 v eh ax 3851	k,v
23734 0.5725 0.8025 v ae s 6895	v,l
1667 0.3925 0.6125 v eh ax 6895	v,p
8655 0.61 0.72 hh v ih 4926	p,hh
17454 0.54 0.86 s ax ae 3851	s,d
14123 0.7925 0.9225 n ax ih 6509	n,w
6747 0.4225 0.7625 w s aa 5802	w,p
25963 0.565 0.735 n ax ae 0511	f,n
15428 0.555 0.745 k eh ax 2294	f,k
20288 0.755 0.945 t s aa 5189	t,f
11666 0.395 0.665 n ax ae 1571	z,n
6660 0.4075 0.5575 n ax ae 1571	n,m
18407 0.4975 0.7975 s t eh 3347	s,y
12527 0.7175 0.9375 l ax ae 1571	hh,l
23458 0.705 0.945 f v ih 0511	f,m
8311 0.3075 0.6075 l ae s 4926	z,l
6201 0.605 0.875 r t eh 3851	r,y
22014 0.3925 0.5725 r eh ax 5189	p,r
6797 0.45 0.74 g d ao 3851	r,g
8105 0.6325 0.8125 s ax ae 5802	s,b
18774 0.44 0.68 n aa d 0511	r,n
6341 0.6225 0.7425 t eh ax 6509	t,hh
23995 0.6175 0.8175 hh ax ih 8193	f,hh
4500 0.6225 0.9325 p ax ae 2741	p,f
