TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
p	t	['ae', 's']	4926	3347	2	8043	11425
m	p	['ax', 'ae']	4926	3851	4	6696	11343
d	l	['ax', 'ae']	6509	1571	5	7798	10359
d	t	['ae', 's']	0511	1571	6	7306	11097
p	l	['ax', 'ae']	1571	8824	9	9231	11245
b	p	['v', 'ih']	5802	4926	10	750	11598
y	l	['d', 'ao']	1571	8193	11	11490	3895
t	n	['ae', 's']	3347	0511	13	8143	11507
g	r	['ax', 'ih']	4926	5189	17	10209	10447
s	l	['eh', 'ax']	2294	3347	18	9482	11688
w	b	['ax', 'ih']	5189	1571	21	10561	11658
d	l	['eh', 'ax']	6509	6895	24	8890	9665
l	d	['v', 'ih']	6895	0188	25	1807	8101
hh	y	['ax', 'ih']	6895	8193	27	2592	11065
r	l	['eh', 'ax']	3851	8824	28	10711	11551
l	z	['ax', 'ae']	5189	0511	35	10178	10302
z	n	['aa', 'd']	3347	0188	41	8127	9298
b	r	['aa', 'd']	3851	8193	42	6667	3961
s	d	['ax', 'ae']	6509	5802	43	7347	11540
l	z	['eh', 'ax']	5189	5802	44	7552	11487
r	l	['t', 'eh']	1571	5189	46	6452	11516
t	l	['s', 'aa']	5189	6509	48	6493	11588
b	p	['ax', 'ae']	0511	5802	49	14	11161
n	v	['ax', 'ae']	1571	6895	52	4489	11620
n	r	['eh', 's']	8824	5802	53	3435	11410
z	k	['eh', 'ax']	3851	5802	54	6989	11541
f	m	['ax', 'ae']	8824	4926	55	10224	11457
z	m	['ax', 'ae']	0188	8824	58	6702	10710
w	t	['t', 'eh']	0188	4926	59	11538	11623
k	t	['ae', 's']	6509	4926	63	7862	11277
f	p	['ax', 'uh']	2294	2741	64	11053	10254
b	s	['t', 'eh']	8824	1571	66	6606	7977
f	hh	['ax', 'ih']	1571	8824	68	9626	10643
hh	s	['ax', 'ae']	3851	2294	75	4985	10395
n	p	['ae', 's']	0188	8824	83	10524	11673
l	b	['ae', 's']	8193	8824	84	6048	8381
d	g	['ax', 'ih']	1571	2294	88	3311	11638
t	k	['ax', 'ae']	5189	3851	90	11522	11016
p	hh	['ax', 'ih']	3851	0188	91	4063	10745
