TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
d	p	['ax', 'ae']	5189	6509	0	9802	10806
n	d	['ae', 's']	0188	3347	1	1858	11078
n	w	['ax', 'ih']	2294	0511	2	7163	10714
t	n	['ax', 'ae']	3851	2294	3	7127	10680
t	d	['ae', 's']	1571	5802	4	4150	11191
f	m	['t', 'eh']	8193	6509	5	9503	8833
b	z	['v', 'ih']	5189	3347	6	4095	9511
n	r	['aa', 'd']	2294	0511	7	7799	11124
w	t	['s', 'aa']	1571	0511	9	6621	10829
hh	m	['v', 'ih']	4926	3347	12	9575	10619
v	y	['z', 'eh']	0188	5802	13	5520	10134
r	w	['t', 'eh']	1571	3851	16	10243	10991
s	n	['eh', 'ax']	5189	8824	22	8343	10874
m	b	['v', 'ih']	0511	3347	25	381	10573
m	l	['ae', 's']	8824	4926	29	6640	10782
w	k	['t', 'eh']	0188	4926	32	6025	11037
p	m	['eh', 'ax']	8193	5802	34	4841	10392
z	t	['ae', 's']	8193	2294	37	2396	9605
z	s	['ax', 'ae']	5802	6895	41	10597	9583
hh	w	['ax', 'ih']	8193	5189	42	4697	10988
l	y	['ax', 'ih']	4926	6895	45	1910	11221
d	f	['v', 'ih']	8824	5802	46	1703	9415
m	v	['ax', 'ae']	6895	3851	47	309	11175
l	z	['eh', 'ax']	3347	8824	48	9834	10943
z	s	['eh', 'ax']	4926	3347	50	10079	10949
l	f	['ax', 'uh']	3851	2741	51	6615	10425
b	n	['ax', 'ae']	5802	6895	59	8666	5267
g	m	['ax', 'ih']	1571	8193	64	5894	8483
f	m	['ax', 'ae']	6895	5802	67	10836	11053
g	b	['t', 'aa']	5802	0188	68	3582	11055
w	s	['ax', 'ih']	8193	2741	70	3908	10527
g	v	['ax', 'eh']	2741	5189	76	10396	10826
n	d	['ax', 'ae']	3851	5189	78	5194	11185
p	d	['ae', 's']	5802	4926	79	3223	10279
v	r	['eh', 'ax']	2741	3851	90	7349	11139
p	hh	['ax', 'ae']	8193	2741	91	9770	10668
f	d	['v', 'ih']	8824	6509	100	46	8034
k	b	['ax', 'ae']	5802	2294	101	1500	10016
l	hh	['ax', 'ae']	0511	6509	102	7568	11117
n	y	['t', 'ih']	3347	1571	109	7418	4331
v	t	['ae', 's']	2294	6895	112	412	10031
r	z	['v', 'ih']	8824	1571	118	9701	9209
d	y	['ax', 'ih']	5189	3851	121	10631	11151
r	k	['eh', 'ax']	3347	5189	122	8041	11187
hh	s	['t', 'eh']	5189	3347	124	9223	2109
v	g	['ax', 'eh']	3347	2741	133	8493	10396
f	g	['ax', 'uh']	3851	2741	135	5630	10994
y	d	['ax', 'ih']	4926	2294	138	10935	10982
hh	t	['ax', 'ae']	2294	6509	146	11009	11047
g	t	['s', 'aa']	0511	2294	156	8557	1277
t	r	['t', 'eh']	6895	0188	165	9183	3018
l	y	['d', 'ao']	1571	2294	169	840	9840
l	w	['s', 'aa']	5189	5802	171	7209	10896
k	w	['t', 'eh']	2294	6895	172	6436	6933
v	k	['ax', 'ae']	8193	8824	174	3401	7132
t	w	['s', 'aa']	8193	3347	176	1499	10563
aa	s	['d', 't']	5189	6509	177	6883	10161
y	b	['t', 'ao']	5189	5802	179	5100	5794
b	w	['t', 'eh']	2294	8824	180	8819	11082
g	p	['ax', 'ae']	5189	6509	185	7133	4347
s	d	['v', 'ih']	1571	6509	187	6617	8250
n	s	['eh', 'ax']	0511	3347	189	2194	9965
l	n	['ae', 's']	8193	8824	204	9310	8759
y	m	['t', 'eh']	0188	3347	207	10299	1838
k	n	['ae', 's']	5189	2294	211	11135	10942
s	aa	['k', 't']	3851	4926	212	5608	9753
p	f	['ax', 'uh']	2294	3851	224	9495	7857
t	n	['aa', 'd']	0188	2741	229	5356	7525
s	y	['ax', 'ih']	8193	0511	233	11080	10716
m	s	['t', 'eh']	0188	5189	234	10592	10556
s	hh	['ax', 'ae']	3851	5802	241	8634	9405
r	n	['aa', 'd']	4926	3347	252	1298	10799
z	r	['aa', 'd']	1571	3347	255	10814	10671
p	g	['s', 'aa']	0511	0188	282	7747	11137
l	r	['t', 'eh']	1571	5802	287	9079	10553
r	l	['eh', 's']	8193	0188	304	10560	10070
k	z	['eh', 'ax']	5189	5802	307	6940	10549
m	g	['ax', 'ih']	5189	3347	333	2424	10390
hh	r	['eh', 'ax']	6895	4926	337	5746	11045
n	r	['eh', 'hh']	2741	6895	361	6789	11063
t	w	['s', 'eh']	3347	6895	363	6579	10771
d	k	['ae', 's']	0511	2741	369	4467	10831
v	d	['v', 'ih']	8824	5189	389	6298	10533
t	r	['eh', 'hh']	6509	5189	399	8794	8200
w	k	['s', 'eh']	3347	2294	401	4890	10554
y	n	['ax', 'ah']	2741	3851	406	7970	11056
b	f	['ax', 'ih']	1571	0188	414	7267	10815
r	d	['eh', 'hh']	2741	8193	457	9025	10732
w	n	['ax', 'ao']	5802	8193	508	10323	10606
s	aa	['ax', 'p']	4926	2741	515	10058	10593
t	v	['eh', 'ax']	0511	6895	529	10590	10894
p	d	['v', 'ih']	1571	5802	548	11172	10107
f	p	['s', 'aa']	8824	2741	558	3405	8135
r	w	['ax', 'ih']	5802	1571	561	7580	10559
s	n	['eh', 'hh']	3851	0188	600	7488	3846
w	l	['ax', 'uh']	3851	6509	608	5435	10604
l	d	['v', 'ih']	3851	6895	641	6595	10313
n	f	['ih', 'hh']	5189	3851	643	8856	11189
w	r	['v', 'ih']	8824	2741	656	1537	6096
n	w	['ax', 'ao']	8824	6895	668	9472	10598
f	b	['ax', 'ih']	8824	3851	670	8071	10670
p	r	['eh', 's']	2741	2294	684	9285	10092
b	r	['aa', 'd']	8193	3851	689	10168	6556
g	z	['d', 'ao']	2294	6509	787	900	6450
b	v	['ae', 's']	3347	0511	802	5752	10138
t	y	['d', 'ao']	8193	4926	830	10582	5604
y	l	['d', 'ao']	1571	8193	840	169	3901
p	hh	['ax', 'ih']	6895	6509	855	4355	10927
v	s	['ah', 'b']	8824	1571	874	9096	11059
t	aa	['s', 'f']	6895	2294	896	1426	5445
z	g	['d', 'ao']	2294	2741	900	787	6844
y	f	['ax', 'ao']	6509	5189	923	7438	8821
g	s	['t', 'eh']	0188	5802	943	4038	9654
k	r	['eh', 's']	3347	2294	978	9419	11218
d	r	['eh', 'hh']	3347	6895	1040	8964	10785
s	r	['t', 'eh']	8824	5802	1044	2522	10754
v	w	['ax', 'ih']	5802	5189	1076	10240	10912
y	p	['t', 'ih']	5189	3347	1151	9287	10518
n	y	['ax', 'ah']	3851	0511	1254	11056	10959
t	aa	['k', 't']	2741	3851	1313	7506	7285
z	r	['v', 'ih']	6509	8824	1340	4551	9701
d	y	['ax', 'ao']	5189	3851	1363	10613	9754
aa	t	['s', 'f']	6895	4926	1426	896	10848
b	g	['d', 'ao']	3851	0188	1490	9722	9279
r	z	['g', 'ih']	1571	0188	1527	1535	4186
z	r	['g', 'ih']	1571	6895	1535	1527	4056
p	w	['s', 'eh']	0511	6509	1552	2058	10505
g	p	['ax', 'uh']	3851	5189	1594	4284	8487
r	v	['ih', 'hh']	0188	2294	1637	10074	8543
g	d	['eh', 'z']	6895	6509	1638	5574	9914
z	w	['ax', 'ih']	1571	8824	1652	10386	11089
l	n	['eh', 'hh']	4926	0188	1665	9894	7527
t	y	['ax', 'ih']	0511	2294	1764	9256	11122
f	r	['eh', 'ax']	8824	5189	1783	9828	6109
k	y	['ax', 'ih']	6895	8193	1890	669	9550
t	p	['v', 'ih']	5802	8193	2000	7956	7537
d	k	['eh', 'ax']	2741	6509	2067	10002	11104
aa	t	['ax', 'p']	2294	4926	2110	10354	9240
k	y	['d', 'ao']	8193	5189	2140	935	10487
b	w	['s', 'eh']	3347	5802	2169	7062	411
s	v	['ah', 'b']	4926	8824	2481	4992	9096
aa	t	['k', 't']	3851	6895	2503	7285	10960
w	y	['d', 'ao']	1571	4926	2536	6409	10915
s	aa	['d', 't']	6509	3851	2606	10161	10246
f	y	['ax', 'ao']	6509	0511	2655	923	10667
r	n	['aa', 'sh']	2294	8824	2723	6703	5544
r	y	['d', 'ao']	6509	5802	3109	8851	9581
f	y	['d', 'ao']	6509	5189	3171	8865	11091
d	y	['t', 'eh']	3347	2741	3289	8048	9354
f	n	['ih', 'hh']	4926	5189	3334	9168	8856
l	r	['eh', 's']	0188	8193	3555	10070	10560
b	g	['t', 'aa']	5802	6509	3582	68	33
p	y	['ax', 'ao']	5189	1571	3637	8326	10451
v	w	['s', 'eh']	2294	0188	3744	7055	1878
v	y	['d', 'eh']	6509	2294	3884	4350	3307
k	t	['s', 'aa']	6509	1571	4175	10150	4421
r	v	['eh', 'ax']	2741	8193	4261	90	38
v	g	['t', 'ih']	2294	8824	4268	7100	1950
g	hh	['s', 'ih']	6895	1571	4286	5395	9598
y	v	['d', 'eh']	6509	4926	4350	3884	9171
k	w	['s', 'eh']	6509	0188	4359	7501	10636
m	p	['eh', 'ax']	8193	3851	4841	34	10301
b	y	['t', 'ao']	5189	6895	5100	179	6791
hh	g	['s', 'ih']	6895	5802	5395	4286	9500
n	w	['g', 'ih']	5189	4926	5438	9879	6063
y	v	['z', 'eh']	0188	5802	5520	1039	6870
n	g	['eh', 'z']	3851	8193	5531	7195	8788
d	g	['eh', 'z']	6895	6509	5574	1638	8566
m	y	['d', 'ao']	6509	2294	5912	11183	11006
n	r	['aa', 'sh']	2294	8193	6703	6779	9937
g	v	['t', 'ih']	2294	6509	7100	4268	9947
hh	y	['ax', 'ao']	6509	5189	7829	4177	9788
b	y	['t', 'ih']	5189	8824	8037	6999	11021
m	r	['eh', 'hh']	3347	0188	8716	9150	2906
p	y	['t', 'ih']	5189	4926	9287	1151	9521
m	w	['s', 'eh']	3347	6895	9602	10388	1609
