TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
r	k	['eh', 'ax']	2294	4926	0	10689	10894
hh	n	['ax', 'ih']	5802	6509	2	4938	9885
s	w	['ax', 'ih']	3851	1571	3	4277	10819
l	d	['ax', 'ae']	1571	6509	4	9884	11291
k	n	['ih', 'ao']	5189	0511	5	7422	10946
k	n	['ax', 'ae']	2294	5802	7	5105	5870
v	m	['v', 'ih']	8824	3851	9	4738	10373
f	k	['ax', 'ae']	5802	8824	10	8197	9945
z	f	['ax', 'ae']	8824	6895	11	3979	10779
y	m	['ax', 'ih']	0511	6895	15	6411	8404
m	l	['ax', 'ae']	8824	4926	17	8473	10403
g	p	['ax', 'ih']	5189	4926	19	9106	11059
s	p	['eh', 'ax']	5802	6895	21	6208	11216
n	p	['ae', 's']	2294	1571	22	10194	11244
z	t	['eh', 'ax']	5802	3851	23	4862	10081
f	n	['ih', 'hh']	5802	5189	24	8235	9505
n	b	['ax', 'ih']	8824	3851	25	9631	10928
hh	l	['ax', 'ae']	3347	6509	26	10891	8074
m	d	['ae', 's']	5802	4926	28	186	1866
s	d	['v', 'ih']	6509	5802	31	4684	6474
d	t	['ae', 's']	0511	6509	35	11273	10341
t	d	['ae', 's']	3347	0511	38	10217	11273
y	hh	['t', 'eh']	3347	0188	40	4146	741
d	p	['ax', 'ae']	3851	5189	41	9319	9586
b	r	['ax', 'ih']	6509	4926	56	5331	11293
v	k	['eh', 'ax']	6509	3851	59	9134	11272
p	n	['ax', 'ae']	2741	5189	60	3239	10750
y	n	['g', 'ax']	6509	2294	61	7564	6106
b	l	['ax', 'ae']	6895	3851	62	6565	10449
s	m	['t', 'eh']	5189	8824	64	4573	11041
w	hh	['v', 'ih']	6509	8824	69	9318	3575
t	y	['ax', 'ih']	2294	5802	70	6360	10935
w	p	['s', 'eh']	6509	3347	76	10569	7767
w	t	['t', 'eh']	0188	4926	78	4771	11061
k	s	['t', 'eh']	6509	6895	84	1569	10353
d	r	['eh', 'hh']	2741	3851	89	8172	9613
z	g	['ax', 'ih']	1571	3851	96	8706	10130
p	w	['ax', 'ih']	2741	4926	98	7079	10728
w	n	['ax', 'ih']	3347	1571	102	8171	10433
f	z	['eh', 'ax']	8824	5189	107	1836	1502
k	d	['eh', 'ax']	6509	2294	108	5017	8925
l	y	['ax', 'ih']	6895	1571	112	4118	11289
r	w	['t', 'eh']	5802	2294	113	10823	11023
n	d	['ax', 'ae']	5189	5802	114	3460	11029
b	l	['v', 'ih']	6895	2741	117	10197	11209
r	b	['ax', 'ih']	1571	0188	123	7298	11271
p	r	['eh', 'ax']	8193	5802	132	10415	6858
n	r	['eh', 's']	2741	8824	152	11294	11118
z	l	['ih', 'ao']	5189	5802	153	3267	11224
r	b	['v', 'ih']	2294	6509	179	8316	9066
y	l	['d', 'ao']	1571	6509	185	6962	4505
l	t	['ae', 's']	8193	8824	195	1622	7468
s	l	['ax', 'ae']	6509	3851	198	6154	10766
z	w	['v', 'ih']	8824	6509	199	5448	7224
n	r	['eh', 'ax']	8193	5189	214	7725	10880
t	w	['s', 'eh']	6509	4926	218	9474	11100
d	y	['ax', 'ih']	5189	3851	222	3620	11012
z	b	['ae', 's']	8824	3851	225	10981	7948
