TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
y	w	['t', 'a']	F06_O	M02_O	1	16063	21028
s	k	['ə', 'u']	M04_O	F02_O	6	6763	25009
e	d	['t', 'e']	M10_O	F06_O	7	25288	10273
i	e	['k', 'a']	F01_O	F06_N	11	24385	21764
d	z	['i', 'i']	M04_O	M07_N	12	17860	24247
ə	ɛ	['k', 's']	F02_O	F01_O	17	22342	24070
ʁ	j	['t', 'ɛ']	F03_O	M02_O	19	16977	25646
ʁ	s	['e', 'e']	F02_O	M10_N	21	22661	24210
w	u	['v', 'a']	M07_N	F02_N	23	7163	26032
t	m	['e', 'e']	F01_O	F02_N	27	19922	26022
v	t	['ə', 'u']	F01_O	M08_N	30	16591	24214
v	s	['i', 'i']	M10_O	F06_O	31	20065	18973
l	w	['e', 'a']	F10_O	F06_O	36	24490	24942
p	ʒ	['ə', 'u']	F06_N	F06_O	38	20047	25472
w	l	['k', 'a']	M04_O	M07_N	40	4185	25239
ʁ	k	['i', 'i']	F03_O	F06_O	43	25260	19121
l	ʒ	['i', 'ɛ']	M02_O	F02_O	45	20200	25819
ə	u	['d', 't']	F06_O	M07_N	47	22046	24833
s	l	['u', 'ə']	F02_N	M07_O	49	25859	23563
s	ʁ	['i', 'i']	F06_O	F01_O	52	24326	25728
l	ʁ	['e', 'e']	F10_O	F06_O	58	6185	25587
b	p	['ə', 'u']	M04_O	F06_O	60	20578	23662
p	ʃ	['e', 'a']	F02_O	M02_O	65	11430	26029
k	n	['i', 'ɛ']	F02_N	F01_O	76	25571	23954
e	y	['t', 'ɛ']	F01_N	M01_O	77	8239	24616
u	i	['d', 't']	M04_O	M07_O	78	25018	25618
n	ɲ	['i', 'i']	F05_N	F10_O	79	25927	25602
ʁ	l	['p', 'ɛ']	F01_O	M07_N	81	22733	25887
n	a	['ɛ', 'p']	M10_N	F03_O	87	9478	24448
y	ø	['p', 's']	M01_O	F03_O	88	2692	18043
y	i	['d', 't']	M01_O	M10_O	91	16065	25307
p	e	['s', 'a']	F03_O	M07_N	92	24402	25570
n	t	['e', 'e']	F10_O	F06_N	93	23753	25663
s	ʒ	['ɔ', 'i']	F06_N	F10_O	95	15113	25623
ɛ	i	['d', 't']	M04_O	F03_O	97	22885	23363
w	ɛ	['s', 'a']	F05_N	M01_O	104	24533	25479
ʁ	ɡ	['i', 'a']	F01_O	M07_N	105	12214	25966
ə	a	['s', 'd']	M10_N	F10_O	106	6732	24794
m	s	['e', 'e']	F06_N	M02_O	110	25959	25391
z	ʒ	['i', 'i']	F06_O	M07_O	113	8327	23340
o	i	['s', 'd']	F05_N	F03_O	114	23621	25197
w	ø	['d', 'a']	M07_N	F01_O	118	11649	24983
ʃ	f	['u', 'ɛ']	M08_N	M01_O	126	14107	25716
p	j	['a', 'e']	M04_O	F05_N	128	17847	15846
f	ʃ	['e', 'ɛ']	F01_O	F01_N	132	18268	25486
l	s	['ɔ', 'i']	F01_O	M04_O	133	20019	25734
ʁ	k	['ɔ', 't']	M02_O	F06_O	135	13210	25850
b	d	['ɔ', 'i']	F03_O	F05_N	138	7000	24864
f	w	['e', 'a']	F02_O	F05_N	140	20177	23188
ɔ	u	['p', 's']	F03_O	F02_N	143	14021	25943
d	t	['e', 'e']	F01_N	F02_N	160	1322	25910
ə	s	['k', 't']	F06_N	M10_O	162	281	23523
ə	j	['s', 'ɛ']	F06_O	M01_O	171	19805	21750
ʃ	d	['a', 'e']	M02_O	F01_O	173	11975	25256
o	s	['k', 't']	F03_O	F01_N	176	19580	25903
z	f	['i', 'ɛ']	M07_N	M10_O	177	16671	24357
l	u	['k', 'a']	F06_O	M08_N	181	20307	24554
p	a	['i', 'a']	F05_N	M04_O	196	9594	24158
i	a	['z', 'k']	M10_N	F06_N	197	19024	24361
i	l	['ʒ', 'a']	F02_N	M07_N	198	10416	25217
m	y	['d', 'i']	M02_O	M07_N	202	13060	25572
e	o	['s', 'd']	M04_O	M07_N	212	24714	25072
l	ø	['p', 'ɛ']	F06_O	F05_N	214	24894	25691
t	k	['ə', 'u']	M10_N	M04_O	215	12507	25538
j	s	['t', 'e']	F06_O	F01_N	216	16126	25142
e	u	['d', 't']	F06_O	M10_O	221	7514	25978
j	ʒ	['a', 'e']	F06_N	F01_O	226	18467	20409
a	k	['a', 's']	M08_N	F03_O	227	16603	20260
d	ʃ	['a', 'e']	F02_O	M10_N	229	14909	24987
w	l	['f', 'a']	M01_O	F02_O	231	22316	25925
v	a	['i', 'ɛ']	F02_O	M01_O	240	6443	24313
m	k	['i', 'i']	F06_N	F03_O	257	25544	25535
k	ɡ	['ə', 'u']	F03_O	F01_O	266	24625	25396
ʁ	ʒ	['ɔ', 'i']	F06_N	M04_O	267	7336	25493
ɡ	ʁ	['ɛ', 'ɛ']	F03_O	F05_N	271	19994	13823
j	b	['ɛ', 'ɛ']	F01_N	F10_O	280	16451	18274
s	ə	['k', 't']	F06_N	F01_N	281	162	22019
a	j	['i', 'ɛ']	F02_N	F02_O	283	5528	9788
o	i	['b', 't']	M10_N	M01_O	300	25056	25359
ɛ	k	['a', 's']	F10_O	F02_N	305	22381	25794
f	ʒ	['i', 'i']	M10_N	M04_O	318	25490	24022
y	s	['k', 't']	M04_O	F03_O	322	23060	21830
o	ɛ	['f', 'a']	M07_N	F06_O	333	7438	16512
ʃ	p	['i', 'a']	M01_O	F02_O	334	24969	12032
ə	ø	['d', 'p']	F06_O	F06_N	335	16789	26006
s	ɡ	['i', 'a']	F02_O	M04_O	339	21887	25456
l	s	['i', 'i']	M07_N	F05_N	359	19627	25950
z	v	['i', 'a']	F01_N	M01_O	362	25987	25252
ɡ	v	['i', 'a']	F02_O	F03_O	368	25324	22114
ʒ	ʁ	['i', 'i']	F01_N	F10_O	379	17312	24307
i	w	['s', 'a']	F05_N	F02_N	380	24302	24507
n	s	['ɔ', 'i']	F02_N	F01_N	384	22103	18617
y	ø	['d', 'p']	F01_N	F02_O	400	25912	24435
o	i	['d', 't']	M10_N	F05_N	412	24013	22964
ʁ	m	['u', 'ə']	F01_O	F01_N	415	21716	21286
m	ʁ	['ɔ', 'i']	M08_N	M02_O	417	13620	25871
ø	a	['d', 't']	F03_O	M07_N	421	17820	10275
s	z	['i', 'ɛ']	M02_O	F10_O	436	21821	24559
p	ʃ	['e', 'ɛ']	F01_O	M01_O	440	8357	25858
f	a	['i', 'ɛ']	F02_N	F10_O	445	8495	24386
a	u	['p', 's']	F10_O	F06_N	453	20819	25754
d	f	['ɔ', 'i']	F02_N	F10_O	454	9382	10230
f	e	['k', 'a']	M10_O	F06_N	457	7563	5621
d	a	['t', 'ɛ']	F06_N	F05_N	460	9784	11498
e	p	['s', 'a']	F03_O	M01_O	466	9363	24954
m	e	['t', 'ɛ']	F01_N	F10_O	469	24723	22197
ɲ	ʁ	['i', 'i']	F05_N	M10_N	473	16405	25104
ʁ	ɲ	['i', 'k']	F01_N	F06_O	477	6872	19946
m	ʁ	['u', 'ə']	M02_O	M04_O	478	21090	22375
ʁ	ɲ	['a', 'd']	F06_N	M10_O	485	14697	25650
j	t	['i', 'ɛ']	F02_O	M01_O	496	22092	22636
k	l	['i', 'i']	F01_O	F06_N	509	17543	25196
ʃ	k	['e', 'ɛ']	F06_O	F01_O	524	834	25643
ə	ɔ	['d', 's']	M01_O	M08_N	525	1618	25731
ɡ	t	['ə', 'u']	F01_O	M04_O	526	1637	18717
d	b	['ə', 'ə']	F06_N	F01_O	527	11983	21803
n	ɲ	['ɛ', 'd']	F10_O	M10_N	530	10044	24439
t	k	['i', 'ɛ']	F01_O	F02_O	531	4343	23737
e	p	['s', 'e']	F06_O	M02_O	537	22688	24900
e	w	['k', 'a']	F01_O	M10_O	546	25836	25777
a	o	['s', 'd']	M04_O	F06_O	550	12312	24651
a	ə	['k', 's']	M07_N	F01_N	553	22341	25328
i	s	['k', 's']	M08_N	F01_O	555	24708	25689
ʃ	v	['e', 'a']	F10_O	M07_O	561	22807	24825
f	d	['ɔ', 'i']	F10_O	F03_O	573	10230	23816
i	u	['d', 't']	M04_O	M02_O	579	12922	25530
s	d	['e', 'e']	F10_O	F02_N	604	25088	25923
ø	u	['s', 'd']	M01_O	F06_N	613	23086	12319
y	ə	['k', 's']	M01_O	F06_O	616	18100	25296
ɛ	u	['p', 's']	M10_N	F10_O	619	3102	25424
k	s	['ɔ', 't']	M01_O	F02_N	625	9586	19093
i	y	['b', 't']	M02_O	M07_O	631	2012	25749
j	t	['t', 'ɛ']	F06_N	F02_N	635	17513	23033
t	l	['i', 'i']	M07_N	M10_O	637	4939	24585
a	u	['d', 't']	F02_N	M08_N	651	7559	24850
l	ɡ	['i', 'e']	F03_O	F10_O	670	26023	25952
a	j	['p', 'ɛ']	F02_O	M07_N	672	11994	22138
e	a	['p', 's']	M02_O	F10_O	673	20486	10564
j	p	['i', 'a']	M04_O	M01_O	676	12711	25735
z	e	['i', 'p']	F02_O	M10_N	681	8829	17921
p	z	['i', 'ɛ']	F02_O	F01_O	687	13413	15555
j	ʁ	['p', 'ɛ']	F05_N	M01_O	700	17549	22248
ʁ	z	['i', 'ɛ']	M02_O	M07_O	705	20542	25073
ɡ	l	['i', 'e']	F01_N	F03_O	722	17968	26023
