TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
ɛ	a	['p', 's']	F02_N	F10_O	0	18412	24765
v	k	['e', 'ɛ']	M10_O	F03_O	2	14128	24905
i	o	['s', 'd']	M08_N	F01_N	5	17413	25164
s	p	['i', 'i']	F06_O	F03_O	6	17973	25323
d	m	['e', 'e']	F02_O	M01_O	8	10992	25599
ʒ	n	['ə', 'u']	F06_N	F02_O	9	19533	17722
o	ɔ	['e', 'd']	M01_O	M07_O	11	427	22512
ə	t	['s', 'd']	F03_O	M07_O	12	2238	24135
ə	ɛ	['d', 't']	M04_O	F02_O	13	16471	25738
p	t	['ɔ', 'i']	F01_O	F02_N	18	14686	25584
ʃ	z	['a', 'e']	F03_O	F02_O	23	25395	24915
l	d	['e', 'e']	M04_O	M10_N	25	23674	25637
s	ɔ	['i', 't']	M10_O	M01_O	31	25899	25943
m	j	['t', 'ɛ']	F10_O	F01_N	32	19814	25659
e	y	['s', 'd']	M02_O	F01_O	36	10114	25679
f	m	['ə', 'u']	M07_O	F02_N	41	2550	21948
e	u	['d', 't']	F02_N	M01_O	43	19898	25541
k	o	['a', 't']	M10_N	M07_N	45	9931	24128
a	l	['p', 'ɛ']	F02_O	M10_O	47	11296	21117
v	f	['i', 'i']	F06_O	F02_N	54	17701	24611
z	s	['o', 'ɛ']	F02_O	M04_O	59	15585	12451
p	w	['k', 'a']	M07_N	F01_O	62	25836	13443
ʁ	ɛ	['t', 'e']	M07_N	M10_O	64	8856	23861
t	m	['e', 'e']	M07_N	M02_O	69	15566	25505
l	s	['ɔ', 'i']	F06_N	M10_O	70	16977	25837
d	p	['ə', 'u']	M04_O	F02_N	72	6343	22580
ɔ	l	['i', 't']	M08_N	M10_O	77	18986	23198
j	ə	['s', 'ɛ']	F06_O	F02_O	80	21056	25886
ʁ	j	['t', 'ɛ']	F06_O	M01_O	85	19847	25500
l	w	['f', 'a']	M04_O	M08_N	86	14957	6175
e	d	['s', 'e']	M02_O	F10_O	88	3563	24635
ʁ	s	['e', 'e']	F06_N	M01_O	89	7865	24184
f	k	['e', 'ɛ']	F01_O	F03_O	90	16255	24998
ʁ	l	['p', 'ɛ']	M10_N	F10_O	93	12309	25941
ɛ	f	['t', 'a']	F05_N	F02_O	94	20944	24638
ɲ	n	['i', 'i']	F06_O	F05_N	100	25265	25714
ɡ	z	['ɛ', 'ɛ']	F05_N	F03_O	101	1165	19243
ə	ɛ	['k', 's']	F01_O	M07_N	104	10100	25898
o	i	['d', 't']	F05_N	F01_O	105	9150	25441
ɛ	ə	['s', 'd']	M10_N	F10_O	106	21729	25351
y	o	['s', 'd']	M04_O	F03_O	113	21857	25592
m	k	['o', 'u']	F10_O	F03_O	115	670	24090
t	p	['ɔ', 'i']	M07_N	F06_N	116	23510	21212
i	ɔ	['b', 't']	F02_N	M07_O	118	25393	24348
ʁ	o	['d', 's']	F03_O	F01_O	123	11101	22943
t	ɡ	['i', 'e']	M07_N	F01_O	125	17032	25747
o	a	['s', 'd']	M04_O	F05_N	130	2521	24517
k	b	['ə', 'u']	M04_O	F02_N	139	19913	25690
i	ʁ	['d', 'p']	M04_O	M10_N	141	9477	25450
b	ɡ	['ə', 'u']	M04_O	F06_O	145	11288	25098
t	l	['i', 'i']	F06_O	M10_O	147	3302	24992
z	k	['i', 'ɛ']	F03_O	M10_O	148	23757	24800
z	l	['i', 'i']	F01_N	M02_O	149	20718	22821
j	s	['t', 'ɛ']	F03_O	F10_O	151	4590	24563
y	e	['t', 'ɛ']	M01_O	M10_N	153	22459	15005
m	s	['i', 'i']	F06_N	F03_O	154	24803	20560
ɛ	w	['s', 'a']	F10_O	F05_N	155	11980	20468
ʁ	ø	['t', 'a']	M01_O	F06_O	156	13537	25909
u	a	['b', 't']	F02_O	M04_O	157	22131	19551
